County,Total Population,Total Families,Total Households,Population in Families,Population in Households,Family: Under Eightteen years,House: Under Eightteen years,Family: Eighteen years and over,House: Eighteen years and over,Average Family Size,Average Household Size,Family: Under Eightteen years,House: Under Eightteen years,Family: Eighteen years and over,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian/Other Pacific Islander alone,Some Other Race alone,Two or More Races,Hispanic or Latino (Any race),"White alone, not Hispanic"
Bastrop County,74171.0,18721.0,25840.0,61102.0,71834.0,19106.0,19443.0,41996.0,52391.0,3.26,2.78,1.02,0.75,2.24,20541.0,1959.0,235.0,137.0,18.0,2451.0,499.0,5781.0,17558.0
Baylor County,3726.0,1039.0,1669.0,2899.0,3661.0,756.0,768.0,2143.0,2893.0,2.79,2.19,0.73,0.46,2.06,1551.0,36.0,1.8,1.0,2.0,53.0,21.0,132.0,1478.0
Bee County,31861.0,6346.0,9042.0,20485.0,24362.0,6771.0,6922.0,13714.0,17440.0,3.23,2.69,1.07,0.77,2.16,7559.0,174.0,68.0,50.0,15.0,989.0,197.0,5079.0,3654.0
Bell County,310235.0,80449.0,114035.0,253527.0,302156.0,86530.0,87962.0,166997.0,214194.0,3.15,2.65,1.08,0.77,2.08,74188.0,24677.0,887.0,2923.0,692.0,7353.0,3315.0,19332.0,64379.0
Bexar County,1714773.0,416356.0,608931.0,1387901.0,1672772.0,457066.0,463862.0,930835.0,1208910.0,3.33,2.75,1.1,0.76,2.24,456741.0,48986.0,5135.0,13787.0,706.0,66765.0,16811.0,312063.0,227648.0
Blanco County,10497.0,3007.0,4309.0,8691.0,10391.0,2248.0,2294.0,6443.0,8097.0,2.89,2.41,0.75,0.53,2.14,4015.0,23.0,33.0,13.0,1.67,167.0,55.0,542.0,3668.0
Borden County,641.0,190.0,264.0,549.0,641.0,138.0,138.0,411.0,503.0,2.89,2.43,0.73,0.52,2.16,251.0,0.0,0.0,0.0,0.0,26.0,16.0,28.0,235.0
Bosque County,18212.0,5081.0,7254.0,15086.0,17883.0,4100.0,4171.0,10986.0,13712.0,2.97,2.47,0.81,0.57,2.16,6738.0,108.0,46.0,14.0,2.0,262.0,85.0,725.0,6316.0
Bowie County,92565.0,23615.0,34669.0,71676.0,86359.0,22077.0,22422.0,49599.0,63937.0,3.04,2.49,0.93,0.65,2.1,25179.0,7998.0,264.0,205.0,15.0,576.0,432.0,1124.0,24747.0
Brazoria County,313166.0,80641.0,106589.0,264397.0,302607.0,85402.0,86709.0,178995.0,215898.0,3.28,2.84,1.06,0.81,2.22,79353.0,12246.0,607.0,4930.0,31.0,7650.0,1772.0,22796.0,65280.0
Brazos County,194851.0,38399.0,71739.0,120833.0,181339.0,39109.0,39661.0,81724.0,141678.0,3.15,2.53,1.02,0.55,2.13,54551.0,7541.0,326.0,3860.0,32.0,4157.0,1272.0,12455.0,46954.0
Brewster County,9232.0,2329.0,4207.0,6738.0,9157.0,1847.0,1874.0,4891.0,7283.0,2.89,2.18,0.79,0.45,2.1,3747.0,47.0,46.0,23.0,2.0,245.0,95.0,1461.0,2617.0
